,RMSE,WMAPE,Acc_WMAPE,RMSE_Total,WMAPE_Total,Acc_WMAPE_Total,RMSE_Total/Store,WMAPE_Total/Store,Acc_WMAPE_Total/Store,RMSE_Total/Store/key_Store_Dept,WMAPE_Total/Store/key_Store_Dept,Acc_WMAPE_Total/Store/key_Store_Dept
MinTrace_method-wls_struct,19.066140625,0.053869728,0.9461303,929.0113125,0.01687205,0.98312795,58.7589375,0.04177835,0.9582217,3.22965576171875,0.10329047,0.89670956
BottomUp,22.06436328125,0.051672667,0.9483273,1116.79175,0.01749328,0.9825067,53.1486640625,0.037682354,0.96231765,3.208732177734375,0.10016782,0.8998322
MinTrace_method-ols,24.754318359375,0.06381311,0.9361869,1218.08625,0.023091635,0.9769084,74.898984375,0.05741094,0.94258904,3.276493896484375,0.11125517,0.88874483
TopDown_method-forecast_proportions,25.461833984375,0.059741817,0.9402582,1269.3405,0.02441895,0.97558105,70.5903671875,0.050226208,0.9497738,3.441586181640625,0.104883246,0.89511675
Mixed_Models,26.159716796875,0.06235976,0.93764025,1269.3405,0.02441895,0.97558105,85.95740625,0.06274624,0.9372538,3.208732177734375,0.10016782,0.8998322
Store_top_down_method-forecast_proportions,42.8853359375,0.07359758,0.92640245,2221.112,0.042676043,0.95732397,85.95740625,0.06274624,0.9372538,3.584244140625,0.11565269,0.8843473
